seed,swept_param,swept_value,total,category
MD,ll_l1s1,18.06122448979592,8,SD
MD,ll_l1s1,19.693877551020407,8,SD
MD,ll_l1s1,21.3265306122449,8,SD
MD,ll_l1s1,22.95918367346939,8,SD
MD,ll_l1s1,24.591836734693878,8,SD
MD,ll_l1s1,26.224489795918366,8,SD
MD,ll_l1s1,27.857142857142858,5,MD
MD,ll_l1s1,29.48979591836735,5,MD
MD,ll_l1s1,31.122448979591837,5,MD
MD,ll_l1s1,32.755102040816325,5,MD
MD,ll_l1s1,34.38775510204081,5,MD
MD,ll_l1s1,36.02040816326531,5,MD
MD,ll_l1s1,37.6530612244898,5,MD
MD,ll_l1s1,39.285714285714285,4,MD
MD,ll_l1s1,40.91836734693878,4,MD
MD,ll_l1s1,42.55102040816327,4,MD
MD,ll_l1s1,44.183673469387756,4,MD
MD,ll_l1s1,45.816326530612244,5,MD
MD,ll_l1s1,47.44897959183673,5,MD
MD,ll_l1s1,49.08163265306123,3,MD
MD,ll_l1s1,50.714285714285715,3,MD
MD,ll_l1s1,52.3469387755102,3,MD
MD,ll_l1s1,53.9795918367347,3,MD
MD,ll_l1s1,55.61224489795919,4,MD
MD,ll_l1s1,57.244897959183675,4,MD
MD,ll_l1s1,58.87755102040816,4,MD
MD,ll_l1s1,60.51020408163265,4,MD
MD,ll_l1s1,62.142857142857146,4,MD
MD,ll_l1s1,63.775510204081634,4,MD
MD,ll_l1s1,65.40816326530611,4,MD
MD,ll_l1s1,67.04081632653062,4,MD
MD,ll_l1s1,68.6734693877551,4,MD
MD,ll_l1s1,70.3061224489796,4,MD
MD,ll_l1s1,71.93877551020408,4,MD
MD,ll_l1s1,73.57142857142857,4,MD
MD,ll_l1s1,75.20408163265306,7,SD
MD,ll_l1s1,76.83673469387756,7,SD
MD,ll_l1s1,78.46938775510205,7,SD
MD,ll_l1s1,80.10204081632654,7,SD
MD,ll_l1s1,81.73469387755102,7,SD
MD,ll_l1s1,83.36734693877551,7,SD
MD,ll_l1s1,85.0,7,SD
MD,ll_l4s1,0.0,4,MD
MD,ll_l4s1,1.4285714285714286,4,MD
MD,ll_l4s1,2.857142857142857,4,MD
MD,ll_l4s1,4.285714285714286,4,MD
MD,ll_l4s1,5.714285714285714,4,MD
MD,ll_l4s1,7.142857142857143,4,MD
MD,ll_l4s1,8.571428571428571,4,MD
MD,ll_l4s1,10.0,4,MD
MD,ll_l4s1,11.428571428571429,4,MD
MD,ll_l4s1,12.857142857142858,4,MD
MD,ll_l4s1,14.285714285714286,4,MD
MD,ll_l4s1,15.714285714285715,4,MD
MD,ll_l4s1,17.142857142857142,4,MD
MD,ll_l4s1,18.571428571428573,4,MD
MD,ll_l4s1,20.0,3,MD
MD,ll_l4s1,21.42857142857143,3,MD
MD,ll_l4s1,22.857142857142858,3,MD
MD,ll_l4s1,24.285714285714285,3,MD
MD,ll_l4s1,25.714285714285715,2,P
MD,ll_l4s1,27.142857142857142,2,P
MD,ll_l4s1,28.571428571428573,2,P
MD,ll_l4s1,30.0,2,P
MD,ll_l4s1,31.42857142857143,2,P
MD,ll_l4s1,32.85714285714286,2,P
MD,ll_l4s1,34.285714285714285,2,P
MD,ll_l4s1,35.714285714285715,2,P
MD,ll_l4s1,37.142857142857146,2,P
MD,ll_l4s1,38.57142857142857,2,P
MD,ll_l4s1,40.0,2,P
MD,ll_l4s1,41.42857142857143,5,MD
MD,ll_l4s1,42.85714285714286,5,MD
MD,ll_l4s1,44.285714285714285,5,MD
MD,ll_l4s1,45.714285714285715,5,MD
MD,ll_l4s1,47.142857142857146,5,MD
MD,ll_l4s1,48.57142857142857,5,MD
MD,ll_l4s1,50.0,5,MD
MD,ll_l4s1,51.42857142857143,5,MD
MD,ll_l4s1,52.85714285714286,5,MD
MD,ll_l4s1,54.285714285714285,5,MD
MD,ll_l4s1,55.714285714285715,5,MD
MD,ll_l4s1,57.142857142857146,5,MD
MD,ll_l4s1,58.57142857142857,5,MD
MD,ll_l4s1,60.0,5,MD
MD,ll_l4s1,61.42857142857143,5,MD
MD,ll_l4s1,62.85714285714286,5,MD
MD,ll_l4s1,64.28571428571429,5,MD
MD,ll_l4s1,65.71428571428572,5,MD
MD,ll_l4s1,67.14285714285714,5,MD
MD,ll_l4s1,68.57142857142857,5,MD
MD,ll_l4s1,70.0,5,MD
MD,gt,-15.0,4,MD
MD,gt,-13.46938775510204,4,MD
MD,gt,-11.938775510204081,4,MD
MD,gt,-10.408163265306122,4,MD
MD,gt,-8.877551020408163,4,MD
MD,gt,-7.346938775510204,4,MD
MD,gt,-5.816326530612246,4,MD
MD,gt,-4.2857142857142865,4,MD
MD,gt,-2.755102040816327,4,MD
MD,gt,-1.2244897959183678,4,MD
MD,gt,0.3061224489795915,4,MD
MD,gt,1.836734693877549,4,MD
MD,gt,3.3673469387755084,4,MD
MD,gt,4.897959183673468,3,MD
MD,gt,6.428571428571427,3,MD
MD,gt,7.959183673469386,3,MD
MD,gt,9.489795918367346,3,MD
MD,gt,11.020408163265305,3,MD
MD,gt,12.551020408163264,3,MD
MD,gt,14.081632653061224,3,MD
MD,gt,15.612244897959183,3,MD
MD,gt,17.14285714285714,3,MD
MD,gt,18.673469387755098,3,MD
MD,gt,20.204081632653057,3,MD
MD,gt,21.734693877551017,4,MD
MD,gt,23.265306122448976,4,MD
MD,gt,24.795918367346935,4,MD
MD,gt,26.326530612244895,4,MD
